"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","q1","q2","q3","q4","q7","q8","q6","q5","q9","q3_0","q26","q11","q27","q28","q28_0","q49_1","q49_2","q49_3","q41","q15","q16","q17","q17_text","q39","q31","q32","q33","q38","q36_1","q42","q37","q8_0","q9_0","q10","q11_0","q11_text","q12","q12_text","q13","q18","q19","do_br_fl_2","do_bl_50f_50m","do_bl_governmentarchitecture","time","filter__","rep","chief","second","third","direct","mmff","mfmf","mffm","fmmf","fmfm","ffmm","easy","mid","hard","plastics","light","heavy","gender","race","age","income"
"1","R_d3TyE2XlidedjkF","Default Response Set","Anonymous","","","","0",41652.84375,41652.84375,0,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q7|Q26","Q39|Q33|Q36|Q37",86,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","R_bmH78VrfzRYmzJ3","Default Response Set","Anonymous","","","","0",41658.890625,41658.890625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,71,73,1,"united states","new york","a large city","",1,NA,1,NA,NA,72,1,"$1,000 to $4,000",1,"65-74","female","white","","graduate or professional degree","","$100,000 to under $150,000","very liberal","","50F/50M","Q5|Q26","Q39|Q32|Q36|Q42|Q37",134,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,71,73,1,0,0,"female","white","65-74","$100,000 to under $150,000"
"6","R_doGKigJl3NDrBVb","Default Response Set","Anonymous","","","","0",41658.890625,41658.890625,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,41,3,2,1,"united states","massachusetts","a large city","",1,NA,NA,1,NA,60,1,"less than $1000",1,"25-34","female","white","","graduate or professional degree","","$150,000 or more","liberal","","50F/50M","Q8|Q26","Q39|Q33|Q36|Q42|Q37",116,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,41,3,2,0,0,0,"female","white","25-34","$150,000 or more"
"9","R_7Vr7MlUTuD4FE5T","Default Response Set","Anonymous","","","","0",41658.890625,41658.890625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,99,99,1,"united kingdom",NA,"a suburban near a large city","",1,1,NA,NA,NA,52,1,"less than $1000",1,"35-44","female","white","","high school graduate (includes equivalency)","","$50,000 to under $75,000","moderate","","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",104,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,99,99,1,0,0,"female","white","35-44","$50,000 to under $75,000"
"14","R_3PB8iWSxDHFMbkN","Default Response Set","Anonymous","","","","0",41658.890625,41658.89453125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,27,25,1,"united states","missouri","a rural area","",1,NA,1,NA,NA,60,1,"$1,000 to $4,000",1,"45-54","female","hispanic or latino (of any race)","","graduate or professional degree","","$150,000 or more","moderate","","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",162,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,27,25,1,0,0,"female","hispanic or latino (of any race)","45-54","$150,000 or more"
"17","R_1YxkGI1ceKEnucZ","Default Response Set","Anonymous","","","","0",41658.890625,41658.89453125,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","pennsylvania","a large city","",1,NA,NA,NA,1,70,1,"$1,000 to $4,000",1,"25-34","male","white","","graduate or professional degree","","$75,000 to under $100,000","liberal","","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",161,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"male","white","25-34","$75,000 to under $100,000"
"18","R_ealbGdJejcOLdNH","Default Response Set","Anonymous","","","","0",41658.890625,41658.89453125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,0,0,0,1,"united states","new hampshire","a large city","",1,NA,NA,1,NA,72,1,"less than $1000",1,"25-34","male","white","","some college, no degree","","i' rather not say","very conservative","","50F/50M","Q3|Q26","Q39|Q33|Q36|Q42|Q37",192,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"male","white","25-34","i' rather not say"
"23","R_eDmbxjNNvMyzVJj","Default Response Set","Anonymous","","","","0",41658.890625,41658.89453125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,81,30,1,"united states","new york","a small city or town","",1,NA,NA,NA,1,49,1,"less than $1000",1,"45-54","male","white","","high school graduate (includes equivalency)","","$50,000 to under $75,000","conservative","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",172,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,81,30,1,0,0,"male","white","45-54","$50,000 to under $75,000"
"25","R_1FIkjBLmiwb7vvL","Default Response Set","Anonymous","","","","0",41658.890625,41658.89453125,0,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q6|Q26","",31,0,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","R_0pmg6P2CWxv2HxX","Default Response Set","Anonymous","","","","0",41658.890625,41658.89453125,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,99,1,"united states","florida","a large city","",1,NA,1,NA,NA,91,1,"less than $1000",1,"25-34","male",NA,"","some college, no degree","","$25,000 to under $50,000",NA,"thanks","50F/50M","Q5|Q26","Q39|Q32|Q36|Q42|Q37",185,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,99,1,1,0,"male",NA,"25-34","$25,000 to under $50,000"
